,task_id,unit_cell_formula,band_gap,nelements,spacegroup.number,spacegroup.crystal_system,nsites,volume,structure.lattice,density,e_above_hull,magnetic_type,total_magnetization,kL
0,mp-66,{'C': 2.0},4.338699999999999,1,227,cubic,2,11.410322800393955,"{'matrix': [[0.0, 1.786855, 1.786855], [1.786855, 0.0, 1.786855], [1.786855, 1.786855, 0.0]], 'a': 2.526994574994177, 'b': 2.526994574994177, 'c': 2.526994574994177, 'alpha': 60.00000000000001, 'beta': 60.00000000000001, 'gamma': 60.00000000000001, 'volume': 11.410322800393955}",3.4958233725910053,0.1364125350000016,NM,0.0002721,419.731
1,mp-1639,"{'B': 1.0, 'N': 1.0}",4.6482,2,216,cubic,2,11.91856931582488,"{'matrix': [[0.0, 1.813001, 1.813001], [1.813001, 0.0, 1.813001], [1.813001, 1.813001, 0.0]], 'a': 2.5639706027959837, 'b': 2.5639706027959837, 'c': 2.5639706027959837, 'alpha': 59.99999999999999, 'beta': 59.99999999999999, 'gamma': 59.99999999999999, 'volume': 11.91856931582488}",3.4576935621325986,0.07735396750000056,NM,0.0006126,281.785
2,mp-47,{'C': 4.0},3.3394999999999992,1,194,hexagonal,4,22.87020048774664,"{'matrix': [[1.256547, -2.176403, 0.0], [1.256547, 2.176403, 0.0], [0.0, 0.0, 4.181402]], 'a': 2.5130937868726666, 'b': 2.5130937868726666, 'c': 4.181402, 'alpha': 90.0, 'beta': 90.0, 'gamma': 119.99999438923007, 'volume': 22.87020048774664}",3.4882486627781524,0.16151688750000126,NM,0.0,272.257
3,mp-1008395,{'C': 4.0},2.6075999999999997,1,139,tetragonal,4,24.11250361411516,"{'matrix': [[-2.189607, 2.189607, 1.257332], [2.189607, -2.189607, 1.257332], [2.189607, 2.189607, -1.257332]], 'a': 3.342101343035845, 'b': 3.342101343035845, 'c': 3.342101343035845, 'alpha': 98.13662056636859, 'beta': 98.13662056636859, 'gamma': 135.80176204787156, 'volume': 24.11250361411516}",3.3085301943573393,0.3331968825000011,NM,0.0,206.237
4,mp-629458,"{'B': 1.0, 'C': 2.0, 'N': 1.0}",1.8462999999999994,3,25,orthorhombic,4,23.72330359463988,"{'matrix': [[2.537445, 0.0, 0.0], [0.0, 2.565139, 0.0], [0.0, 0.0, 3.644749]], 'a': 2.537445, 'b': 2.565139, 'c': 3.644749, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0, 'volume': 23.72330359463988}",3.4185472189424697,0.5369416362500026,NM,0.0001177,187.621
5,mp-2653,"{'B': 2.0, 'N': 2.0}",5.363,2,186,hexagonal,4,23.87641842781525,"{'matrix': [[1.27697, -2.211776, 0.0], [1.27697, 2.211776, 0.0], [0.0, 0.0, 4.226855]], 'a': 2.553939203480772, 'b': 2.553939203480772, 'c': 4.226855, 'alpha': 90.0, 'beta': 90.0, 'gamma': 119.99997936627051, 'volume': 23.87641842781525}",3.452005209051759,0.09470411999999939,NM,4.295e-05,178.38
6,mp-611426,{'C': 8.0},4.5245,1,194,hexagonal,8,45.68564726070189,"{'matrix': [[1.259972, -2.182335, 0.0], [1.259972, 2.182335, 0.0], [0.0, 0.0, 8.307445]], 'a': 2.5199435495679268, 'b': 2.5199435495679268, 'c': 8.307445, 'alpha': 90.0, 'beta': 90.0, 'gamma': 119.99998817420055, 'volume': 45.68564726070189}",3.492429288069796,0.1458170587500014,NM,0.001462425,166.925
7,mp-24,{'C': 8.0},2.778500000000001,1,206,cubic,8,44.86563577306569,"{'matrix': [[-2.23847, 2.23847, 2.23847], [2.23847, -2.23847, 2.23847], [2.23847, 2.23847, -2.23847]], 'a': 3.8771437712187047, 'b': 3.8771437712187047, 'c': 3.8771437712187047, 'alpha': 109.47122063449069, 'beta': 109.47122063449069, 'gamma': 109.47122063449069, 'volume': 44.86563577306569}",3.5562605942940047,0.8330894637500013,NM,0.0,161.938
8,mp-1078845,{'C': 8.0},3.5883000000000003,1,65,orthorhombic,8,46.92755832753853,"{'matrix': [[2.127572, -4.385604, 0.0], [2.127572, 4.385604, 0.0], [0.0, 0.0, 2.514689]], 'a': 4.874431767908953, 'b': 4.874431767908953, 'c': 2.514689, 'alpha': 90.0, 'beta': 90.0, 'gamma': 128.2415099580747, 'volume': 46.92755832753853}",3.4000041388062128,0.26588511625000066,NM,2.60375e-05,146.956
9,mp-1080826,{'C': 8.0},3.540800000000001,1,12,monoclinic,8,47.79175391938066,"{'matrix': [[1.26283, 4.592551, 0.0], [-1.26283, 4.592551, 0.0], [0.0, 0.50805, 4.120255]], 'a': 4.763010003821218, 'b': 4.763010003821218, 'c': 4.151459510524582, 'alpha': 83.2233696622806, 'beta': 83.2233696622806, 'gamma': 30.749683424663612, 'volume': 47.79175391938066}",3.3385234784823026,0.29903070750000005,NM,3.41875e-05,145.01
