,MagpieData minimum Number,MagpieData minimum MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData minimum MeltingT,MagpieData minimum Column,MagpieData minimum Row,MagpieData minimum CovalentRadius,MagpieData minimum Electronegativity,MagpieData minimum NsValence,MagpieData minimum NpValence,MagpieData minimum NdValence,MagpieData minimum NfValence,MagpieData minimum NValence,MagpieData minimum NsUnfilled,MagpieData minimum NpUnfilled,MagpieData minimum NUnfilled,MagpieData minimum GSvolume_pa,MagpieData minimum GSbandgap,MagpieData minimum SpaceGroupNumber,MagpieData maximum Number,MagpieData maximum MendeleevNumber,MagpieData maximum AtomicWeight,MagpieData maximum MeltingT,MagpieData maximum Column,MagpieData maximum Row,MagpieData maximum CovalentRadius,MagpieData maximum Electronegativity,MagpieData maximum NsValence,MagpieData maximum NpValence,MagpieData maximum NdValence,MagpieData maximum NfValence,MagpieData maximum NValence,MagpieData maximum NsUnfilled,MagpieData maximum NpUnfilled,MagpieData maximum NdUnfilled,MagpieData maximum NfUnfilled,MagpieData maximum NUnfilled,MagpieData maximum GSvolume_pa,MagpieData maximum GSbandgap,MagpieData maximum SpaceGroupNumber,MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData mean AtomicWeight,MagpieData mean MeltingT,MagpieData mean Column,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData mean Electronegativity,MagpieData mean NsValence,MagpieData mean NpValence,MagpieData mean NdValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NsUnfilled,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData mean NfUnfilled,MagpieData mean NUnfilled,MagpieData mean GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean SpaceGroupNumber,space group,density,nsites,vpa
0,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,4.0,5.64,4.496,194.0,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,5.64,4.496,194.0,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,5.64,4.496,194.0,194,3.492429288069796,8,5.710705907587736
1,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,4.0,5.64,4.496,194.0,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,5.64,4.496,194.0,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,5.64,4.496,194.0,227,3.4958233725910053,2,5.705161400196977
2,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,4.0,5.64,4.496,194.0,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,5.64,4.496,194.0,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,5.64,4.496,194.0,194,3.4948420856278513,16,5.706763303907513
3,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,4.0,5.64,4.496,194.0,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,5.64,4.496,194.0,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,5.64,4.496,194.0,194,1.7417339509645842,4,11.450793937941764
4,5.0,72.0,10.811,63.05,13.0,2.0,71.0,2.04,2.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,7.1725,1.524,166.0,7.0,82.0,14.0067,2348.0,15.0,2.0,84.0,3.04,2.0,3.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,14.76875,6.437,194.0,6.0,77.0,12.408850000000001,1205.525,14.0,2.0,77.5,2.54,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,10.970625,3.9805,180.0,216,3.4576935621325986,2,5.95928465791244
5,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,4.0,5.64,4.496,194.0,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,5.64,4.496,194.0,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,5.64,4.496,194.0,194,3.4882486627781524,4,5.71755012193666
6,5.0,72.0,10.811,63.05,13.0,2.0,71.0,2.04,2.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,5.64,1.524,166.0,7.0,82.0,14.0067,3823.0,15.0,2.0,84.0,3.04,2.0,3.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,14.76875,6.437,194.0,6.0,77.0,12.209775,2514.2625,14.0,2.0,76.75,2.545,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,8.3053125,4.238250000000001,187.0,25,3.4185472189424697,4,5.93082589865997
7,5.0,72.0,10.811,63.05,13.0,2.0,71.0,2.04,2.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,5.64,1.524,166.0,7.0,82.0,14.0067,3823.0,15.0,2.0,84.0,3.04,2.0,3.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,14.76875,6.437,194.0,6.0,77.0,12.209775,2514.2625,14.0,2.0,76.75,2.545,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,8.3053125,4.238250000000001,187.0,25,3.4185472189424697,4,5.93082589865997
8,5.0,72.0,10.811,1090.0,13.0,2.0,84.0,2.04,2.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,7.1725,0.0,166.0,33.0,84.0,74.9216,2348.0,15.0,4.0,119.0,2.18,2.0,3.0,10.0,0.0,15.0,0.0,5.0,0.0,0.0,5.0,22.175,1.524,166.0,19.0,78.0,42.866299999999995,1719.0,14.0,3.0,101.5,2.1100000000000003,2.0,2.0,5.0,0.0,9.0,0.0,4.0,0.0,0.0,4.0,14.67375,0.762,166.0,216,5.087631340714321,2,13.991022741950774
9,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,4.0,5.64,4.496,194.0,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,5.64,4.496,194.0,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,5.64,4.496,194.0,229,2.751045879921811,8,7.2496924579750965
